avg_waiting_time_for_battery_slots,battery_swap_success_ratio,chargers_per_station,charging_deadline_miss_ratio,charging_solver,combo,deadline_miss_ratio,effective_horizon,group_id,inventory_per_station,max_charging_power_demand_kw,max_charging_power_kw,max_station_total_power_kw,max_total_charging_demand_kw,max_waiting_vehicles_by_station_top5,peak_station_power_kw,reposition_event_no_incumbent_count,reposition_event_optimized_after_retry_count,reposition_event_outcome_counts,reposition_event_retry_count,reposition_event_second_pass_method0_count,reposition_event_status_counts,reposition_idle_cost_weight,reposition_low_energy_swap_bonus,reposition_service_discount_gamma,reposition_solver,reposition_step_no_solution_steps,reposition_step_outcome_counts,reposition_step_runtime_sec_avg,reposition_step_runtime_sec_max,reposition_step_runtime_sec_p95,reposition_step_status_counts,reposition_top_swap_targets,sim_date,sim_end_hour,sim_start_hour,steps,swap_capacity_per_station,total_charging_deadline_missed_slots,total_charging_deadline_misses,total_charging_demand,total_deadline_misses,total_idle_driving_distance,total_idle_moves,total_number_of_swaps,total_served,total_swap_arrivals,total_swap_requests,total_unmet_battery_demand,total_waiting_vehicles,waiting_vehicle_slots_by_station_top5,waiting_vehicles_p50,waiting_vehicles_p90,waiting_vehicles_p99
0.16367476240760295,0.8363252375923971,3,0.1919191919191919,fcfs,heuristic_plus_fcfs,0.16367476240760295,64,G2,6,23040.0,18480.0,23780.0,23040.0,"{'22': 2, '28': 2, '51': 2, '74': 2, '81': 2}",110.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-01,22,6,64,4,2371,152,14786,155,0.0,40024,792,39232,792,947,155,155,"{'161': 39, '141': 20, '191': 20, '262': 20, '22': 2}",0.0,5.0,26.82999999999985
0.16084656084656085,0.8391534391534392,5,0.025220680958385876,fcfs,heuristic_plus_fcfs,0.16084656084656085,64,G3,6,23040.0,22440.0,27740.0,23040.0,"{'22': 2, '28': 2, '51': 2, '74': 2, '81': 2}",170.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-01,22,6,64,4,282,20,14464,152,0.0,39736,793,38943,793,945,152,152,"{'161': 38, '262': 20, '141': 19, '191': 19, '22': 2}",0.0,5.0,26.82999999999985
0.0,1.0,3,0.115995115995116,fcfs,heuristic_plus_fcfs,0.0,64,G1,4,21570.0,18720.0,24020.0,21570.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-05,22,6,64,4,1491,95,15141,0,0.0,38133,819,37314,819,819,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.1765873015873016,0.8234126984126984,3,0.20240963855421687,fcfs,heuristic_plus_fcfs,0.1765873015873016,64,G2,6,23820.0,18750.0,24050.0,23820.0,"{'22': 2, '28': 2, '51': 2, '74': 2, '81': 2}",110.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-05,22,6,64,4,2579,168,15470,178,0.0,39076,830,38246,830,1008,178,178,"{'161': 39, '141': 20, '191': 20, '262': 20, '139': 19}",0.0,6.0,29.679999999999836
0.17477656405163852,0.8252234359483615,5,0.024067388688327317,fcfs,heuristic_plus_fcfs,0.17477656405163852,64,G3,6,23820.0,23160.0,28460.0,23820.0,"{'22': 2, '28': 2, '51': 2, '74': 2, '81': 2}",170.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-05,22,6,64,4,283,20,15093,176,0.0,38380,831,37549,831,1007,176,176,"{'161': 38, '141': 20, '262': 20, '139': 19, '191': 19}",0.0,6.0,29.679999999999836
0.0,1.0,3,0.10911602209944751,fcfs,heuristic_plus_fcfs,0.0,64,G1,4,19830.0,17460.0,22760.0,19830.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-09,22,6,64,4,1236,79,13382,0,0.0,32562,724,31838,724,724,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.12681159420289856,0.8731884057971014,3,0.17704011065006917,fcfs,heuristic_plus_fcfs,0.12681159420289856,64,G2,6,21330.0,17490.0,22790.0,21330.0,"{'22': 2, '28': 2, '51': 2, '74': 2, '81': 2}",110.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-09,22,6,64,4,1992,128,13497,105,0.0,32958,723,32235,723,828,105,105,"{'161': 40, '262': 20, '22': 2, '28': 2, '51': 2}",0.0,3.0,20.019999999999882
0.125,0.875,5,0.023351648351648352,fcfs,heuristic_plus_fcfs,0.125,64,G3,6,21330.0,20820.0,26120.0,21330.0,"{'22': 2, '28': 2, '51': 2, '74': 2, '81': 2}",170.0,0,0,{},0,0,{},0.05,0.2,1.0,heuristic,0,{},0.0,0.0,0.0,{},3,2025-11-09,22,6,64,4,238,17,13298,104,0.0,32657,728,31929,728,832,104,104,"{'161': 39, '262': 20, '22': 2, '28': 2, '51': 2}",0.0,3.0,20.019999999999882
0.0,1.0,3,0.5994550408719346,fcfs,ideal_plus_fcfs,0.0,64,G1,4,91680.0,23640.0,28940.0,91680.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",6.8871035727243575,15.717514038085938,9.971577739715576,"{""2"": 63}",3,2025-11-01,22,6,64,4,15971,2200,63876,0,24871.0,205510,3670,65716,3670,3670,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.5994550408719346,fcfs,ideal_plus_fcfs,0.0,64,G2,6,91680.0,23640.0,28940.0,91680.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",6.858085287941827,15.478266954421997,9.761918473243714,"{""2"": 63}",3,2025-11-01,22,6,64,4,15971,2200,63876,0,24871.0,205510,3670,65716,3670,3670,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,5,0.37329700272479566,fcfs,ideal_plus_fcfs,0.0,64,G3,6,89160.0,38190.0,43490.0,89160.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",6.956835951123919,15.572739839553833,10.142962312698364,"{""2"": 63}",3,2025-11-01,22,6,64,4,7459,1370,57902,0,24871.0,205510,3670,65716,3670,3670,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.45069124423963136,fcfs,ideal_plus_fcfs,0.0,64,G1,4,63900.0,21390.0,26690.0,63900.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",8.416732038770403,16.13402795791626,10.559853863716125,"{""2"": 63}",3,2025-11-05,22,6,64,4,11501,1467,51210,0,32496.0,196703,3255,75756,3255,3255,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.45069124423963136,fcfs,ideal_plus_fcfs,0.0,64,G2,6,63900.0,21390.0,26690.0,63900.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",8.334643155809433,16.001760959625244,10.493626880645753,"{""2"": 63}",3,2025-11-05,22,6,64,4,11501,1467,51210,0,32496.0,196703,3255,75756,3255,3255,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,5,0.2755359394703657,fcfs,ideal_plus_fcfs,0.0,64,G3,6,62130.0,31350.0,36650.0,62130.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",8.416497730073475,16.047173023223877,10.911458754539488,"{""2"": 63}",3,2025-11-05,22,6,64,4,5466,874,46112,0,32057.0,197040,3172,75417,3172,3172,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.4641940085592011,fcfs,ideal_plus_fcfs,0.0,64,G1,4,69060.0,21960.0,27260.0,69060.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",7.995128188814435,12.378443956375122,10.783247494697571,"{""2"": 63}",3,2025-11-09,22,6,64,4,11809,1627,54455,0,23323.0,187869,3505,62237,3505,3505,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,3,0.45832163906820095,fcfs,ideal_plus_fcfs,0.0,64,G2,6,69060.0,21960.0,27260.0,69060.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",110.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",7.937613419124058,12.021522998809814,10.965025329589844,"{""2"": 63}",3,2025-11-09,22,6,64,4,11821,1633,54412,0,22972.0,187712,3563,62125,3563,3563,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
0.0,1.0,5,0.2918888577041819,fcfs,ideal_plus_fcfs,0.0,64,G3,6,67290.0,32160.0,37460.0,67290.0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",170.0,0,0,"{""optimized"": 64}",0,0,"{""2"": 64}",0.05,0.2,1.0,ideal,0,"{""optimized"": 63}",7.846302668253581,12.01052188873291,10.710338592529297,"{""2"": 63}",3,2025-11-09,22,6,64,4,5833,1040,49526,0,22972.0,187712,3563,62125,3563,3563,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0}",0.0,0.0,0.0
