t,trace_t_start,reposition_status,reposition_sol_count,reposition_runtime_sec,reposition_build_time_sec,reposition_candidate_prep_time_sec,reposition_vars_build_time_sec,reposition_expressions_build_time_sec,reposition_constraints_build_time_sec,reposition_objective_build_time_sec,reposition_optimize_time_sec,reposition_wall_time_sec,reposition_outcome,reposition_note,reposition_num_vars,reposition_num_constrs,reposition_num_nz,reposition_iter_count,reposition_bar_iter_count,reposition_obj_val,reposition_obj_bound,reposition_solver_method,reposition_solver_crossover,reposition_numeric_focus,reposition_presolve,reposition_lp_warm_start_enabled,reposition_lp_warm_start_mode,reposition_lp_warm_start_applied,reposition_lp_warm_start_var_count,reposition_lp_warm_start_nonzero_count,reposition_lp_warm_start_note,reposition_use_preaggregation,reposition_use_aux_elimination,x_var_count,y_var_count,v_var_count,o_var_count,r_var_count,b_var_count,mu_var_count,served_var_count,full_stock_var_count,vacant_split_constr_count,b_def_constr_count,mu_le_b_constr_count,swap_cap_constr_count,full_dyn_constr_count,served_by_supply_constr_count,o_dyn_constr_count,v_dyn_constr_count,error,swap_requests,successful_swaps,charging_deadline_misses,waiting_vehicles
21,21,2,1,13.800194025039673,14.010016208980232,0.38273966702399775,3.2469007920008153,5.4427578750182875,4.6221368329715915,0.25495375000173226,13.800297292007599,28.197350499976892,optimized,,680265,218360,9698092,0.0,47,3995.8226405240307,3995.8226754430866,2,0,0,-1,1,2,1,680265,1175,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,187,30,0,157
22,22,2,1,10.345561981201172,14.159610874950886,0.38833300000987947,3.0421440409845673,5.609388709010091,4.815597000007983,0.25331004097824916,10.345688165980391,24.898128583969083,optimized,,680265,218360,9134652,0.0,40,3967.5295215516703,3967.5295468094105,2,0,0,-1,1,2,1,680265,1185,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,168,27,0,141
23,23,2,1,10.766844987869263,13.912036500056274,0.3810861670062877,3.126621790986974,5.937984457996208,4.1568637089803815,0.2498799579916522,10.766968707961496,25.064657749957405,optimized,,680265,218360,8988172,0.0,39,3964.0043682399278,3964.0043738803347,2,0,0,-1,1,2,1,680265,1195,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,146,17,0,129
24,24,2,1,9.482460021972656,13.930835374980234,0.382287208980415,3.400096500001382,5.73879020800814,4.088899084017612,0.25735037500271574,9.482595208042767,23.800124708970543,optimized,,680265,218360,9146252,0.0,33,4014.7941797880803,4014.794210993562,2,0,0,-1,1,2,1,680265,1200,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,139,19,0,120
25,25,2,1,10.191986799240112,13.702192166005261,0.3820003329892643,3.404091125004925,5.585272124968469,4.0107027090271,0.2557247090153396,10.192116416990757,24.28142154205125,optimized,,680265,218360,9552172,0.0,42,3994.5686004922527,3994.5686060536023,2,0,0,-1,1,2,1,680265,1265,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,133,32,0,101
26,26,2,1,9.764267921447754,13.926302874984685,0.380001625046134,3.468623500026297,5.815753334027249,3.9509463339927606,0.25394345895620063,9.764398125000298,24.07512858399423,optimized,,680265,218360,9456252,0.0,35,3968.7422543887005,3968.7422584318692,2,0,0,-1,1,2,1,680265,1275,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,112,33,0,79
27,27,2,1,10.336357831954956,13.794189375010319,0.3829548329813406,3.3168008329812437,5.890093624999281,3.8946666249539703,0.25111845799256116,10.336486833984964,24.518259583041072,optimized,,680265,218360,9036572,0.0,35,3896.3170714755515,3896.3170804759534,2,0,0,-1,1,2,1,680265,1280,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,92,28,0,64
28,28,2,1,12.827286958694458,14.287730249983724,0.381492790998891,3.3379752499749884,5.942056707979646,4.295903125021141,0.2574241670081392,12.82739925000351,27.501343209005427,optimized,,680265,218360,10028492,0.0,40,3918.508054845899,3918.508070445955,2,0,0,-1,1,2,1,680265,1300,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,81,29,0,52
29,29,2,1,10.260756015777588,13.788002916960977,0.4048756249831058,3.4536749590188265,5.602777000050992,4.028876583033707,0.2529832909931429,10.260888541000895,24.458685417019296,optimized,,680265,218360,9619052,0.0,34,3933.691571885037,3933.69157332116,2,0,0,-1,1,2,1,680265,1295,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,64,24,0,40
30,30,2,1,9.927206039428711,14.257491875032429,0.3790409999783151,3.3397894170484506,5.438017582986504,4.777374791970942,0.253258167009335,9.927333374973387,24.568461125018075,optimized,,680265,218360,9634172,0.0,35,3991.679225956327,3991.6792289970304,2,0,0,-1,1,2,1,680265,1295,,1,1,296960,273860,0,0,0,0,107060,1060,1325,107060,0,107060,2120,1060,1060,0,0,,43,11,0,32
